order,month,work_key,doi,title,venue,states_pce,states_certified,states_area,states_t80,isos_protocol,pce_value
63,2026-02,10.1038/s41467-026-69264-9,10.1038/s41467-026-69264-9,Scalable solution soaking quenching technique unlocks efficient and durable wide bandgap perovskite solar modules,Nature Communications,,,,,,
64,2026-03,10.1021/acsami.5c25501,10.1021/acsami.5c25501,Machine Learning-Guided Discovery of High-Performance Perovskite Solar Cells via Cluster Analysis and Experimental Validation,ACS Applied Materials & Interfaces,,,,,,
65,2026-03,10.1002/adom.202503619,10.1002/adom.202503619,Stabilizing Iodine in 2D Mixed Halide Perovskites: Dion–Jacobson Versus Ruddlesden–Popper Phases,Advanced Optical Materials,,,,,,
66,2026-07,10.1002/adma.73995,10.1002/adma.73995,Breaking Interfacial Charge Transport Limitations Enabled by Heterojunction Dielectric Equilibrium in Perovskite Solar Cells,Advanced Materials,,,,,,
67,2026-05,10.1002/adfm.76167,10.1002/adfm.76167,Bisphosphonate‐Anchored Self‐Assembled Molecule with Halogen Functionalization for Wide‐Bandgap Perovskite Solar Cells and Tandems,Advanced Functional Materials,,,,,,
68,2026-04,10.1038/s41467-026-72160-x,10.1038/s41467-026-72160-x,Uniform and ordered self-assembled hole-selective layers driven by π-π interactions for efficient perovskite-silicon tandem solar cells,Nature Communications,,,,,,
69,2026-08,10.1021/acs.nanolett.6c03508,10.1021/acs.nanolett.6c03508,All-Perovskite Low-Dimensional/Quantum Dot Heterojunctions for Long-Term Efficient Quantum Dot Solar Cells,Nano Letters,,,,,,
70,2026-02,10.1063/5.0313807,10.1063/5.0313807,Crystallization modulation through optimized SnO2 ETL enables over 20% efficiency in HTM-free carbon electrode perovskite solar cells,Applied Physics Letters,,,,,,
71,2026-07,10.1126/sciadv.aee4175,10.1126/sciadv.aee4175,Tetraphosphorylated phthalocyanine–based self-assembled monolayer stabilizes perovskite photovoltaics,Science Advances,,,,,,
72,2026-08,10.1002/adma.74758,10.1002/adma.74758,Molecular Synergy‐Enabled Buried Interface Engineering Toward Highly Efficient and Operationally Stable Flexible Perovskite Photovoltaics,Advanced Materials,,,,,,
73,2026-04,10.1088/1402-4896/ae5852,10.1088/1402-4896/ae5852,Carrier relaxation dynamics in mixed-halide CsPb(Br x Cl 1-x ) 3 perovskite films,Physica Scripta,,,,,,
