work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1002/adfm.202530037,10.1002/adfm.202530037,single_junction,26.1,,1,
10.1002/adfm.75159,10.1002/adfm.75159,single_junction,25,,1,
10.1002/aenm.70814,10.1002/aenm.70814,single_junction,26.73,,1,
10.1021/acsenergylett.5c04174,10.1021/acsenergylett.5c04174,single_junction,16.36,,1,
10.1021/acsenergylett.6c00328,10.1021/acsenergylett.6c00328,single_junction,21.5,,1,
10.1038/s41467-026-69687-4,10.1038/s41467-026-69687-4,single_junction,22.6,22.02,1,
10.1002/pip.70101,10.1002/pip.70101,single_junction,20.54,,1,
10.1038/s41560-026-02027-4,10.1038/s41560-026-02027-4,single_junction,26.25,25.61,1,
10.1002/aenm.202504811,10.1002/aenm.202504811,single_junction,,,1,
10.1021/acsenergylett.6c00115,10.1021/acsenergylett.6c00115,single_junction,,,0,lens=review
10.1007/s40820-026-02087-x,10.1007/s40820-026-02087-x,single_junction,,,0,lens=review
10.1002/anie.3450174,10.1002/anie.3450174,single_junction,26.22,,1,
10.1021/acsenergylett.5c03999,10.1021/acsenergylett.5c03999,single_junction,26.06,,1,
10.1021/acsnano.5c18895,10.1021/acsnano.5c18895,single_junction,26.3,,1,
10.1002/anie.202520159,10.1002/anie.202520159,single_junction,25.57,,1,
10.1002/anie.8890696,10.1002/anie.8890696,single_junction,26.49,26.2,1,
10.1021/acsaem.5c04004,10.1021/acsaem.5c04004,single_junction,17.13,,1,
10.1002/aenm.202506762,10.1002/aenm.202506762,single_junction,23.5,,1,
10.1002/lpor.202501531,10.1002/lpor.202501531,single_junction,24.71,,1,
10.1021/acsenergylett.5c04082,10.1021/acsenergylett.5c04082,perovskite_silicon_tandem,31.7,,1,
10.1021/acs.jpclett.6c00402,10.1021/acs.jpclett.6c00402,single_junction,11.81,,1,
10.1021/acsenergylett.6c00385,10.1021/acsenergylett.6c00385,single_junction,15.69,,1,
10.1021/acsami.5c20743,10.1021/acsami.5c20743,single_junction,25.47,,1,
10.1021/acs.nanolett.5c06029,10.1021/acs.nanolett.5c06029,single_junction,25.75,,1,
10.1002/solr.202500942,10.1002/solr.202500942,perovskite_silicon_tandem,,,1,
10.1002/adfm.202526009,10.1002/adfm.202526009,all_perovskite_tandem,31.43,,1,
10.1002/adfm.202532203,10.1002/adfm.202532203,module,19.89,,1,
10.1038/s41467-026-70022-0,10.1038/s41467-026-70022-0,single_junction,26.55,,1,
10.1021/acsenergylett.5c04210,10.1021/acsenergylett.5c04210,single_junction,10.6,,1,
10.1002/smll.202514249,10.1002/smll.202514249,single_junction,25.38,,1,
10.1002/flm2.70061,10.1002/flm2.70061,single_junction,,,1,
10.1021/acs.jpclett.6c00034,10.1021/acs.jpclett.6c00034,single_junction,,,1,
10.1021/acsaem.6c00562,10.1021/acsaem.6c00562,single_junction,26.41,,1,
10.1002/solr.70324,10.1002/solr.70324,single_junction,22.5,,1,
